GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NEUEat,com.cs5500.NEUEat,LoadDatabase,5,727,0,8,2,167,1,6,1,2
NEUEat,com.cs5500.NEUEat,NeuEatApplication,5,3,0,0,2,1,1,1,1,1
NEUEat,com.cs5500.NEUEat.exception,PasswordNotMatchException,4,0,0,0,2,0,1,0,1,0
NEUEat,com.cs5500.NEUEat.exception,OrderAlreadyDeliverException,4,0,0,0,2,0,1,0,1,0
NEUEat,com.cs5500.NEUEat.exception,CommentAlreadyExistException,4,0,0,0,2,0,1,0,1,0
NEUEat,com.cs5500.NEUEat.exception,UserNotExistException,4,0,0,0,2,0,1,0,1,0
NEUEat,com.cs5500.NEUEat.exception,DishNotExistException,4,0,0,0,2,0,1,0,1,0
NEUEat,com.cs5500.NEUEat.exception,OrderAlreadyCheckoutException,4,0,0,0,2,0,1,0,1,0
NEUEat,com.cs5500.NEUEat.exception,OrderNotExistException,4,0,0,0,2,0,1,0,1,0
NEUEat,com.cs5500.NEUEat.exception,UserAlreadyExistException,4,0,0,0,2,0,1,0,1,0
NEUEat,com.cs5500.NEUEat.exception,OrderNotFinishedException,4,0,0,0,2,0,1,0,1,0
NEUEat,com.cs5500.NEUEat.exception,OrderAlreadyFinishException,4,0,0,0,2,0,1,0,1,0
NEUEat,com.cs5500.NEUEat.controller,OrderController,38,156,7,11,5,37,8,8,1,6
NEUEat,com.cs5500.NEUEat.controller,DriverController,395,9,36,0,92,4,33,1,15,1
NEUEat,com.cs5500.NEUEat.controller,RestaurantController,589,12,48,0,131,5,44,1,20,1
NEUEat,com.cs5500.NEUEat.controller,CustomerController,306,9,24,0,69,4,25,1,13,1
NEUEat,com.cs5500.NEUEat.service,PasswordService,6,13,0,0,1,4,1,2,1,2
NEUEat,com.cs5500.NEUEat.service,SearchEngineServiceImpl,128,3,8,0,31,1,10,1,6,1
NEUEat,com.cs5500.NEUEat.service,DriverServiceImpl,235,8,22,0,58,2,21,1,10,1
NEUEat,com.cs5500.NEUEat.service,OrderServiceImpl,378,214,72,16,91,57,58,12,16,10
NEUEat,com.cs5500.NEUEat.service,RestaurantServiceImpl,406,8,36,0,102,2,33,1,15,1
NEUEat,com.cs5500.NEUEat.service,CustomerServiceImpl,235,8,22,0,58,2,21,1,10,1
NEUEat,com.cs5500.NEUEat.model,Customer,6,13,0,0,3,3,1,1,1,1
NEUEat,com.cs5500.NEUEat.model,Restaurant,39,19,0,0,13,5,7,1,7,1
NEUEat,com.cs5500.NEUEat.model,Node,31,43,4,2,6,9,3,3,1,2
NEUEat,com.cs5500.NEUEat.model,Driver,6,13,0,0,3,3,1,1,1,1
NEUEat,com.cs5500.NEUEat.model,Comment,20,12,0,0,7,6,5,2,5,2
NEUEat,com.cs5500.NEUEat.model,RestaurantInfo,49,43,0,0,13,20,5,12,5,12
NEUEat,com.cs5500.NEUEat.model,Order,55,73,0,0,13,32,2,21,2,21
NEUEat,com.cs5500.NEUEat.model,SearchEngine,86,60,14,6,18,14,9,5,2,2
NEUEat,com.cs5500.NEUEat.model,User,79,31,0,0,27,12,18,3,18,3
NEUEat,com.cs5500.NEUEat.model,Dish,75,24,10,0,15,11,9,7,4,7
